customer_grade,quote_stage,quantity,estimated_amount,days_until_due,converted
A,협의중,5,86000000,8,1
B,협의중,6,20000000,5,1
B,협의중,4,113000000,13,1
C,협의중,3,48000000,35,1
A,초기,4,21000000,20,1
B,협의중,2,29000000,27,0
C,유력,6,47000000,29,1
A,유력,5,60000000,31,1
A,초기,5,105000000,15,0
B,협의중,5,35000000,30,0
D,초기,5,38000000,23,0
B,협의중,2,58000000,12,0
C,유력,4,70000000,22,1
D,유력,6,53000000,12,0
A,초기,5,96000000,20,0
C,협의중,2,105000000,4,0
C,협의중,5,95000000,33,0
B,유력,4,78000000,11,1
A,협의중,1,52000000,29,1
C,초기,2,26000000,14,0
D,유력,4,106000000,23,0
D,협의중,1,95000000,27,0
B,유력,5,94000000,5,0
B,유력,1,49000000,28,0
A,협의중,6,24000000,15,1
B,협의중,3,77000000,13,1
C,초기,5,36000000,32,0
B,협의중,1,41000000,11,1
B,초기,4,93000000,15,0
A,협의중,6,109000000,13,0
A,초기,4,99000000,26,1
C,협의중,5,96000000,13,0
B,유력,3,90000000,12,1
A,유력,1,71000000,22,1
C,협의중,6,41000000,10,0
D,초기,3,19000000,32,0
B,유력,5,81000000,18,1
C,협의중,4,28000000,3,0
B,협의중,5,44000000,6,1
A,협의중,2,22000000,22,1
A,초기,2,38000000,21,0
C,협의중,5,40000000,32,0
B,초기,3,59000000,26,0
C,유력,5,26000000,21,1
A,유력,3,85000000,29,1
C,협의중,1,91000000,8,0
C,유력,6,54000000,30,0
B,협의중,5,63000000,11,0
B,협의중,4,81000000,14,0
A,초기,2,18000000,10,1
C,초기,2,120000000,29,0
B,협의중,6,45000000,3,0
C,초기,1,57000000,22,0
B,초기,6,60000000,24,0
B,유력,2,42000000,24,0
D,협의중,4,120000000,5,0
B,협의중,5,60000000,32,0
B,협의중,5,56000000,23,0
A,협의중,3,120000000,25,1
A,유력,3,66000000,13,1
B,협의중,3,108000000,23,0
B,초기,2,65000000,31,0
B,협의중,2,32000000,26,0
C,유력,4,82000000,4,0
D,초기,3,79000000,22,0
A,유력,5,104000000,11,1
A,협의중,5,32000000,3,1
A,유력,1,60000000,32,1
A,유력,6,57000000,4,1
B,유력,3,43000000,15,1
B,유력,6,33000000,20,1
B,초기,5,89000000,35,0
B,협의중,3,36000000,21,0
A,협의중,3,87000000,31,1
A,유력,1,31000000,27,1
B,초기,5,93000000,31,0
B,유력,6,115000000,8,0
C,협의중,2,29000000,32,1
B,협의중,4,78000000,17,0
A,유력,3,64000000,28,1
D,협의중,3,76000000,34,1
B,협의중,4,39000000,21,0
C,초기,1,69000000,9,0
C,유력,5,77000000,28,0
A,초기,2,79000000,27,1
A,협의중,4,118000000,30,0
B,협의중,2,102000000,7,0
C,유력,1,93000000,32,1
A,협의중,3,69000000,7,1
C,협의중,4,59000000,34,0
A,초기,2,92000000,3,0
C,협의중,3,67000000,31,1
C,협의중,5,119000000,22,0
D,협의중,3,29000000,3,0
B,유력,3,25000000,26,0
D,초기,5,63000000,10,0
D,초기,6,93000000,28,0
C,협의중,4,87000000,16,0
B,초기,4,64000000,29,1
D,협의중,2,19000000,7,0
A,유력,6,73000000,11,1
C,협의중,4,118000000,30,0
B,협의중,4,67000000,25,1
B,초기,4,111000000,18,0
B,유력,5,64000000,5,0
B,협의중,1,92000000,33,0
A,협의중,5,114000000,20,1
A,유력,1,49000000,33,1
C,협의중,6,99000000,22,0
D,협의중,1,78000000,32,0
B,협의중,4,63000000,21,1
A,유력,6,56000000,19,1
B,초기,1,102000000,21,0
C,초기,1,34000000,35,1
C,초기,5,53000000,20,0
A,초기,2,93000000,12,0
B,초기,6,48000000,34,1
B,초기,1,36000000,12,0
C,협의중,4,48000000,31,0
A,협의중,3,24000000,19,0
A,초기,4,78000000,22,0
D,유력,2,66000000,27,1
A,유력,1,54000000,31,1
B,협의중,1,30000000,25,0
B,유력,3,60000000,20,1
A,협의중,4,77000000,18,1
B,초기,3,104000000,14,0
A,초기,1,19000000,29,1
A,협의중,2,110000000,21,1
A,협의중,1,94000000,16,0
C,협의중,1,29000000,11,1
C,협의중,2,32000000,14,1
B,유력,6,76000000,20,0
C,협의중,3,50000000,13,0
B,초기,4,60000000,6,0
C,초기,1,80000000,15,0
A,협의중,2,87000000,30,1
C,유력,6,51000000,9,1
A,협의중,4,20000000,34,1
C,유력,6,67000000,20,1
B,협의중,1,83000000,34,0
B,협의중,1,87000000,17,1
D,유력,4,33000000,25,1
B,초기,6,29000000,26,0
D,초기,4,115000000,21,0
A,초기,4,102000000,15,1
B,초기,6,63000000,34,1
C,협의중,2,22000000,15,1
D,초기,4,26000000,22,0
D,유력,1,22000000,24,1
C,초기,1,45000000,32,0
D,협의중,6,92000000,17,0
A,초기,6,20000000,33,0
C,초기,6,34000000,3,0
A,협의중,1,76000000,13,0
A,유력,1,81000000,17,1
A,협의중,6,104000000,28,1
D,협의중,2,59000000,16,0
B,협의중,1,53000000,12,0
A,협의중,2,74000000,18,0
A,초기,6,96000000,27,0
A,협의중,1,18000000,14,0
C,협의중,3,71000000,33,0
A,협의중,5,75000000,29,1
A,협의중,5,41000000,34,0
A,유력,3,62000000,29,1
A,초기,5,30000000,26,0
D,협의중,4,116000000,16,0
A,유력,6,78000000,34,1
C,초기,6,64000000,21,0
B,협의중,4,23000000,9,0
D,초기,1,80000000,35,0
D,협의중,5,92000000,23,0
C,유력,2,117000000,10,1
A,협의중,2,66000000,17,1
B,초기,4,36000000,16,0
B,협의중,2,76000000,15,0
D,초기,2,22000000,6,0
A,협의중,4,39000000,24,1
B,초기,6,96000000,13,0
B,초기,4,84000000,34,0
A,협의중,4,53000000,3,0
C,초기,3,73000000,17,0
B,초기,5,18000000,29,0
A,협의중,5,22000000,30,1
B,유력,1,75000000,34,1
B,초기,6,70000000,16,1
B,협의중,1,20000000,33,0
A,협의중,5,113000000,4,0
B,초기,6,69000000,14,0
B,협의중,6,18000000,7,1
C,협의중,3,72000000,20,0
C,협의중,2,118000000,8,0
B,유력,5,104000000,26,0
A,협의중,5,23000000,26,1
C,협의중,5,108000000,16,1
B,협의중,6,79000000,16,0
C,협의중,3,82000000,30,0
A,협의중,4,82000000,10,1
B,유력,3,75000000,26,0
D,유력,1,42000000,32,1
B,초기,1,31000000,13,1
C,협의중,2,84000000,4,0
D,협의중,2,78000000,25,0
C,초기,2,26000000,4,0
A,유력,6,60000000,29,1
C,유력,4,93000000,31,0
B,유력,3,39000000,19,1
B,초기,1,36000000,25,1
D,협의중,2,109000000,21,0
A,협의중,6,119000000,12,1
A,유력,5,34000000,31,1
A,협의중,1,103000000,23,0
A,협의중,2,86000000,22,1
A,유력,2,76000000,23,1
D,협의중,5,60000000,21,0
B,유력,5,103000000,12,0
C,유력,3,106000000,10,0
D,초기,5,32000000,22,1
C,초기,3,29000000,23,1
C,협의중,2,118000000,20,1
A,유력,6,103000000,8,0
B,협의중,5,95000000,35,0
D,협의중,2,109000000,30,0
B,초기,3,57000000,31,0
A,협의중,4,112000000,29,0
B,유력,4,111000000,29,1
B,초기,2,56000000,33,0
B,협의중,5,114000000,27,1
B,유력,4,40000000,32,0
C,초기,2,66000000,21,0
A,유력,5,56000000,34,1
B,초기,1,37000000,19,1
C,협의중,1,101000000,21,0
B,협의중,2,21000000,10,0
B,유력,5,113000000,26,0
B,유력,6,105000000,33,0
C,협의중,6,91000000,4,0
A,초기,3,77000000,11,1
A,협의중,6,63000000,6,1
B,유력,5,42000000,14,0
B,초기,3,58000000,22,0
C,협의중,5,92000000,25,0
A,협의중,3,117000000,34,1
D,초기,2,37000000,35,0
A,유력,5,106000000,10,1
D,초기,2,20000000,33,0
C,초기,4,94000000,24,0
B,협의중,1,46000000,11,0
A,초기,2,44000000,11,0
B,유력,1,27000000,4,0
C,초기,1,22000000,35,0
B,유력,1,26000000,22,1
C,유력,5,44000000,15,1
B,초기,6,53000000,25,0
D,유력,5,48000000,35,0
A,협의중,1,85000000,16,0
D,초기,5,18000000,9,0
D,유력,4,64000000,14,1
D,초기,3,66000000,30,0
A,초기,3,33000000,32,1
A,유력,6,54000000,5,1
B,협의중,4,94000000,22,0
C,초기,4,55000000,30,0
A,유력,4,104000000,26,1
D,협의중,1,68000000,31,0
C,초기,4,69000000,9,0
D,초기,3,43000000,24,0
C,협의중,2,72000000,34,1
C,협의중,3,114000000,28,0
C,유력,4,83000000,20,1
B,초기,4,81000000,17,0
A,초기,1,26000000,34,0
D,협의중,6,59000000,12,0
C,유력,6,114000000,34,0
A,협의중,4,82000000,19,1
C,협의중,1,115000000,5,0
D,초기,4,58000000,27,0
A,초기,6,117000000,22,0
A,협의중,3,109000000,27,1
A,협의중,6,88000000,33,1
D,협의중,4,51000000,34,0
B,협의중,3,59000000,6,1
A,유력,3,112000000,4,0
C,협의중,4,62000000,25,0
A,초기,2,100000000,22,0
D,초기,3,32000000,24,0
B,초기,6,72000000,35,0
B,협의중,5,20000000,23,1
B,협의중,4,30000000,16,1
B,유력,3,39000000,22,1
B,협의중,1,86000000,16,1
A,유력,4,120000000,17,1
D,협의중,5,30000000,24,0
B,협의중,4,44000000,25,0
C,협의중,3,73000000,23,1
B,협의중,4,103000000,14,0
C,협의중,2,91000000,34,1
D,협의중,4,52000000,30,0
C,초기,2,64000000,32,1
A,협의중,3,73000000,29,1
C,초기,2,70000000,20,0
C,초기,5,48000000,28,0
A,초기,3,77000000,34,0
B,협의중,1,43000000,13,1
A,유력,3,102000000,14,1
A,협의중,1,25000000,8,1
B,초기,4,64000000,8,0
C,유력,2,32000000,35,0
B,유력,5,50000000,34,0
A,초기,3,60000000,27,0
C,유력,2,36000000,9,1
D,협의중,3,93000000,6,0
B,유력,3,87000000,30,1
A,초기,2,64000000,33,0
C,초기,5,22000000,6,0
C,초기,5,67000000,22,0
C,유력,6,33000000,18,0
B,유력,4,50000000,22,1
C,초기,2,38000000,31,0
D,유력,4,119000000,5,0
A,유력,4,78000000,29,0
B,협의중,1,38000000,19,1
B,협의중,5,112000000,23,0
A,초기,6,41000000,31,0
A,협의중,6,57000000,23,1
A,초기,6,116000000,11,0
C,유력,3,75000000,33,0
A,초기,5,59000000,21,1
B,초기,4,91000000,17,1
A,협의중,5,98000000,17,0
D,초기,6,39000000,6,0
B,초기,1,65000000,13,0
A,협의중,4,116000000,32,0
B,초기,2,42000000,20,1
B,초기,2,94000000,16,0
B,협의중,4,41000000,29,0
A,유력,2,97000000,31,0
B,협의중,4,28000000,3,0
D,유력,4,105000000,16,0
C,협의중,3,27000000,9,0
A,유력,4,63000000,5,1
B,협의중,4,103000000,26,1
D,초기,2,51000000,13,0
D,유력,2,29000000,23,0
B,초기,3,23000000,11,0
D,초기,3,73000000,21,0
B,유력,3,84000000,23,1
A,협의중,4,115000000,12,1
D,협의중,4,24000000,15,1
A,초기,3,38000000,32,1
D,유력,1,74000000,25,0
B,협의중,1,110000000,12,1
A,유력,2,39000000,35,1
B,협의중,2,92000000,3,0
B,협의중,1,49000000,34,0
D,초기,6,105000000,10,0
B,유력,3,37000000,4,1
C,협의중,4,98000000,20,0
A,유력,6,97000000,31,1
C,협의중,5,34000000,16,0
C,초기,1,113000000,7,0
C,초기,3,40000000,18,0
D,초기,2,38000000,27,0
B,유력,6,37000000,10,1
C,협의중,3,105000000,11,0
A,협의중,2,80000000,31,0
B,협의중,4,29000000,30,0
C,협의중,4,29000000,5,0
D,협의중,6,105000000,12,0
B,협의중,1,55000000,32,1
D,협의중,2,34000000,22,0
B,초기,1,88000000,7,0
B,협의중,4,30000000,32,0
B,초기,3,92000000,8,0
A,협의중,4,40000000,14,0
A,협의중,6,56000000,23,1
B,협의중,5,51000000,24,0
D,초기,2,28000000,19,0
A,협의중,1,68000000,10,1
C,협의중,4,102000000,34,0
C,협의중,6,104000000,28,0
A,초기,2,32000000,4,0
A,초기,4,101000000,12,0
B,협의중,5,42000000,8,1
B,협의중,1,32000000,13,0
C,협의중,4,78000000,4,0
B,초기,5,68000000,6,0
A,유력,4,71000000,34,1
B,협의중,3,22000000,34,1
B,협의중,6,80000000,17,0
B,협의중,3,88000000,7,1
C,유력,1,81000000,25,1
B,초기,6,42000000,33,0
A,초기,6,61000000,32,1
B,협의중,4,104000000,26,0
C,유력,5,44000000,21,0
A,협의중,2,43000000,13,1
A,협의중,4,56000000,18,1
A,초기,3,63000000,13,1
D,협의중,1,61000000,30,1
A,협의중,4,51000000,24,0
C,유력,5,52000000,12,0
D,협의중,1,108000000,6,0
B,협의중,1,31000000,9,0
A,초기,6,33000000,16,0
A,초기,4,115000000,35,0
D,초기,3,60000000,11,0
A,유력,1,49000000,33,1
B,초기,3,109000000,29,0
C,초기,5,71000000,17,1
B,유력,4,84000000,26,0
B,유력,6,84000000,7,1
B,유력,2,73000000,6,1
A,유력,2,91000000,6,0
D,유력,5,55000000,29,0
C,협의중,3,110000000,23,0
A,초기,5,96000000,12,0
B,초기,5,97000000,31,0
D,유력,4,117000000,15,0
A,협의중,4,110000000,11,1
B,초기,5,88000000,22,0
C,초기,1,119000000,19,0
C,협의중,5,32000000,6,0
B,협의중,1,24000000,10,1
B,초기,3,48000000,17,0
B,유력,6,91000000,11,0
B,초기,3,84000000,15,0
B,초기,6,72000000,29,1
A,유력,4,45000000,31,1
C,협의중,5,84000000,28,0
B,협의중,4,106000000,34,0
B,초기,5,34000000,34,0
A,협의중,5,33000000,16,1
A,초기,5,65000000,10,0
B,초기,5,55000000,5,0
A,협의중,3,56000000,21,1
C,초기,5,71000000,6,0
B,초기,2,112000000,34,1
B,초기,1,71000000,33,0
B,유력,4,78000000,11,1
B,협의중,4,103000000,31,1
C,초기,5,103000000,29,0
D,협의중,1,103000000,31,0
C,유력,6,21000000,22,0
A,협의중,2,97000000,6,0
B,유력,5,20000000,10,1
B,유력,3,118000000,16,1
C,유력,4,28000000,23,1
A,유력,1,61000000,30,1
A,협의중,4,50000000,8,1
A,초기,2,41000000,19,0
A,유력,6,39000000,6,1
B,초기,1,56000000,27,1
A,유력,3,66000000,10,1
A,협의중,2,81000000,35,0
B,초기,1,58000000,32,0
A,초기,6,47000000,4,0
D,협의중,2,115000000,11,0
B,초기,6,82000000,16,0
A,협의중,2,118000000,18,1
B,유력,4,23000000,3,0
D,협의중,6,39000000,3,0
D,초기,3,105000000,27,0
C,초기,5,54000000,5,0
B,초기,1,68000000,10,0
C,유력,4,44000000,35,0
B,협의중,3,99000000,19,0
C,초기,6,59000000,24,0
D,협의중,6,35000000,3,0
A,초기,2,70000000,34,0
B,유력,6,101000000,7,1
D,유력,4,104000000,10,1
C,유력,3,67000000,14,0
C,유력,1,77000000,26,0
B,초기,1,115000000,20,0
C,초기,5,98000000,22,0
A,유력,3,22000000,20,1
C,협의중,1,43000000,28,1
B,협의중,2,88000000,15,0
B,협의중,5,40000000,7,0
C,초기,5,47000000,20,0
C,유력,6,104000000,19,0
D,초기,4,100000000,6,0
B,유력,4,53000000,10,1
B,협의중,1,110000000,17,1
D,협의중,3,18000000,28,1
A,협의중,1,112000000,17,0
B,초기,2,43000000,13,1
A,협의중,1,79000000,30,0
B,협의중,3,50000000,18,1
A,협의중,1,60000000,18,0
C,협의중,1,98000000,31,0
A,초기,1,66000000,23,0
C,유력,1,120000000,31,1
C,협의중,1,104000000,6,0
B,협의중,1,97000000,29,1
B,협의중,1,76000000,27,1
B,협의중,1,61000000,4,0
B,초기,1,19000000,7,0
C,유력,2,99000000,35,1
B,협의중,4,41000000,18,1
A,초기,5,73000000,35,0
C,협의중,5,117000000,12,1
B,협의중,3,19000000,12,1
B,유력,1,72000000,25,1
A,유력,1,61000000,15,1
C,유력,5,106000000,24,0
B,협의중,3,71000000,24,1
B,유력,1,81000000,17,0
C,협의중,4,97000000,16,1
C,유력,3,112000000,27,1
A,유력,3,19000000,7,1
B,초기,4,42000000,26,1
A,초기,2,46000000,19,0
B,협의중,2,43000000,4,1
B,초기,6,35000000,27,0
D,협의중,2,57000000,32,1
C,협의중,5,120000000,30,0
A,초기,2,119000000,15,1
B,협의중,5,72000000,18,0
C,협의중,5,55000000,12,1
A,유력,2,83000000,34,1
A,협의중,6,96000000,7,1
B,유력,5,65000000,34,1
A,협의중,5,106000000,33,0
B,초기,4,99000000,5,0
D,협의중,2,68000000,16,1
D,협의중,3,50000000,8,1
A,협의중,3,47000000,5,1
C,협의중,4,73000000,29,0
B,초기,1,40000000,31,1
C,협의중,1,55000000,35,0
C,유력,2,30000000,10,1
A,초기,2,104000000,24,1
C,유력,3,42000000,11,0
C,협의중,3,19000000,22,1
B,유력,4,92000000,3,0
B,유력,2,68000000,17,1
C,협의중,5,93000000,32,0
B,유력,3,42000000,30,0
C,초기,4,89000000,4,0
B,초기,6,19000000,34,0
C,협의중,4,72000000,28,0
C,초기,5,20000000,5,0
A,유력,3,90000000,28,0
A,협의중,5,67000000,15,1
B,유력,6,56000000,8,1
C,초기,6,95000000,34,1
A,유력,4,54000000,16,1
C,초기,1,65000000,3,0
D,협의중,2,32000000,11,0
B,초기,2,34000000,16,1
C,협의중,2,95000000,22,0
B,협의중,3,43000000,3,0
B,유력,5,49000000,24,0
D,협의중,5,23000000,8,0
D,협의중,6,109000000,22,0
C,유력,4,49000000,14,0
C,협의중,6,41000000,9,0
D,초기,2,53000000,21,0
A,협의중,2,81000000,29,0
B,유력,1,114000000,9,1
C,협의중,2,50000000,16,0
B,초기,6,104000000,32,0
C,유력,4,22000000,3,1
C,초기,6,113000000,32,0
A,협의중,2,109000000,31,1
C,유력,2,20000000,9,1
A,협의중,2,27000000,3,0
A,협의중,2,109000000,5,0
B,협의중,1,99000000,9,1
B,초기,1,24000000,27,0
D,협의중,2,43000000,8,1
A,초기,2,105000000,7,1
D,유력,6,39000000,13,1
B,유력,3,89000000,15,1
D,협의중,4,33000000,17,1
B,초기,4,101000000,23,1
A,초기,6,53000000,26,1
D,협의중,5,81000000,9,0
C,유력,5,39000000,19,0
B,유력,6,67000000,11,1
C,유력,3,103000000,33,1
A,유력,4,66000000,35,1
A,협의중,1,47000000,4,0
D,협의중,6,72000000,18,0
A,협의중,3,43000000,12,1
C,초기,6,94000000,31,0
B,초기,6,118000000,5,0
D,협의중,3,114000000,4,0
C,협의중,2,87000000,6,0
C,초기,6,107000000,17,0
B,협의중,4,98000000,3,1
B,유력,1,99000000,12,0
A,초기,5,119000000,16,1
A,협의중,3,39000000,15,1
A,초기,3,91000000,31,0
A,유력,4,28000000,26,1
A,협의중,5,96000000,30,0
C,유력,1,115000000,27,1
A,유력,3,94000000,12,1
A,협의중,3,76000000,21,1
C,초기,2,109000000,33,0
D,초기,5,111000000,26,0
D,유력,6,65000000,27,0
C,협의중,4,22000000,10,1
B,초기,4,50000000,25,0
B,협의중,6,25000000,27,0
C,초기,1,64000000,4,0
C,초기,4,105000000,12,0
C,유력,2,19000000,10,0
C,유력,4,108000000,8,0
A,협의중,4,50000000,22,1
B,유력,5,57000000,29,0
D,유력,1,99000000,25,0
B,초기,6,68000000,22,1
A,협의중,1,26000000,29,1
C,협의중,2,40000000,26,1
A,협의중,5,32000000,31,1
A,초기,6,41000000,15,1
D,협의중,6,97000000,9,0
A,초기,4,33000000,20,1
A,초기,4,104000000,9,1
B,유력,6,92000000,5,1
B,초기,5,84000000,20,0
B,협의중,4,61000000,26,0
B,협의중,2,64000000,28,1
A,협의중,3,30000000,3,1
C,협의중,2,21000000,10,0
B,협의중,2,65000000,31,0
C,협의중,4,102000000,15,1
C,유력,3,20000000,26,0
D,협의중,6,74000000,17,0
B,협의중,1,62000000,30,0
D,협의중,6,107000000,9,0
B,초기,2,84000000,35,1
B,초기,6,88000000,32,0
B,초기,6,87000000,18,0
A,유력,6,29000000,9,1
C,초기,3,67000000,20,0
B,협의중,6,33000000,11,0
C,협의중,6,60000000,17,0
C,협의중,6,61000000,27,0
C,협의중,6,100000000,30,0
A,초기,1,32000000,8,1
B,초기,1,91000000,26,1
B,협의중,6,18000000,22,1
B,유력,4,58000000,26,0
D,초기,6,95000000,17,0
A,유력,3,36000000,21,1
B,협의중,5,54000000,12,0
C,유력,1,94000000,23,1
D,초기,6,91000000,33,0
A,초기,4,25000000,24,1
C,유력,2,107000000,6,0
C,유력,6,68000000,22,0
C,유력,1,88000000,28,1
C,유력,4,68000000,7,1
B,협의중,2,107000000,28,1
B,유력,1,108000000,22,1
A,초기,6,79000000,21,0
A,유력,2,112000000,3,1
D,초기,2,66000000,30,0
A,초기,3,78000000,14,0
A,협의중,3,93000000,30,0
C,협의중,1,33000000,18,1
B,협의중,2,101000000,27,0
D,협의중,1,117000000,32,0
C,초기,6,74000000,26,1
A,초기,6,103000000,35,1
B,유력,4,53000000,9,0
A,협의중,6,107000000,30,1
A,협의중,6,119000000,14,1
C,협의중,5,118000000,34,1
C,협의중,6,33000000,16,0
D,초기,5,106000000,14,1
B,협의중,1,34000000,16,0
A,초기,1,28000000,10,1
B,협의중,4,102000000,3,1
A,유력,3,102000000,31,1
B,협의중,3,95000000,35,1
A,유력,2,22000000,15,1
D,초기,2,95000000,16,0
B,협의중,4,27000000,19,1
C,초기,4,28000000,19,0
D,초기,2,27000000,20,0
C,초기,3,90000000,35,0
B,초기,4,66000000,4,0
A,초기,5,32000000,29,1
C,협의중,3,117000000,20,1
C,초기,1,66000000,17,0
A,유력,2,85000000,22,1
C,초기,3,107000000,21,0
C,유력,2,58000000,27,1
C,협의중,5,88000000,28,0
A,초기,5,109000000,12,0
A,협의중,3,24000000,26,0
A,협의중,6,76000000,14,1
B,협의중,3,53000000,30,0
C,유력,2,57000000,8,0
B,협의중,1,99000000,8,1
A,초기,5,25000000,8,0
B,협의중,1,72000000,35,0
A,협의중,6,104000000,10,1
C,유력,6,18000000,30,0
C,초기,6,102000000,5,0
D,협의중,5,46000000,14,1
C,협의중,1,72000000,34,1
B,초기,6,49000000,10,0
B,초기,1,112000000,28,0
B,유력,6,83000000,5,0
D,유력,1,63000000,3,0
B,협의중,1,62000000,14,1
A,협의중,2,28000000,35,0
B,유력,1,37000000,19,1
B,초기,4,41000000,20,1
B,유력,2,35000000,25,0
A,유력,6,43000000,10,1
A,협의중,6,60000000,5,1
A,협의중,6,52000000,10,1
B,유력,6,34000000,23,0
C,협의중,6,112000000,27,1
D,유력,2,37000000,25,0
C,초기,6,61000000,30,0
C,협의중,3,54000000,34,1
B,협의중,6,83000000,14,1
C,유력,6,49000000,30,1
C,유력,6,111000000,35,0
A,유력,6,99000000,12,1
A,초기,2,36000000,30,1
A,유력,4,70000000,22,1
D,초기,4,79000000,6,0
C,협의중,3,64000000,20,0
C,초기,1,41000000,5,1
C,협의중,3,78000000,20,0
A,초기,4,64000000,24,1
A,초기,5,116000000,11,0
C,협의중,5,85000000,26,0
B,협의중,1,31000000,11,0
C,초기,6,42000000,15,0
D,초기,5,97000000,24,0
B,유력,5,110000000,12,1
A,협의중,3,115000000,25,0
B,협의중,4,26000000,33,1
D,협의중,1,39000000,20,0
A,초기,5,25000000,15,0
B,협의중,5,27000000,13,1
B,협의중,4,69000000,20,1
A,협의중,5,107000000,3,0
C,협의중,6,110000000,19,0
A,협의중,5,33000000,13,1
B,초기,6,36000000,20,0
B,유력,6,49000000,16,1
A,협의중,5,65000000,23,1
C,협의중,6,35000000,29,0
B,유력,6,19000000,25,1
D,초기,1,86000000,9,0
C,유력,3,98000000,16,0
A,초기,5,98000000,28,1
A,협의중,3,36000000,33,1
A,초기,2,42000000,34,0
A,초기,3,38000000,14,0
C,초기,2,27000000,30,0
D,유력,1,110000000,11,0
C,협의중,4,67000000,4,1
A,유력,1,34000000,18,1
B,유력,5,19000000,3,0
A,협의중,3,108000000,8,1
B,협의중,4,38000000,22,1
A,초기,6,52000000,10,1
A,협의중,1,83000000,29,1
D,초기,4,67000000,12,0
B,유력,6,67000000,10,1
D,초기,3,63000000,7,0
A,유력,1,23000000,12,1
B,협의중,6,72000000,12,0
C,협의중,3,62000000,9,1
B,협의중,3,109000000,7,0
D,유력,6,36000000,23,1
B,유력,4,26000000,10,1
D,초기,1,59000000,11,0
B,협의중,4,79000000,29,0
C,초기,6,49000000,27,0
B,협의중,5,86000000,17,1
B,협의중,5,117000000,17,0
A,초기,1,64000000,33,0
D,초기,3,64000000,11,0
A,유력,4,49000000,16,1
A,초기,6,108000000,12,0
A,유력,3,24000000,9,1
A,유력,2,21000000,12,1
A,초기,5,71000000,12,0
B,초기,5,107000000,22,0
C,협의중,6,106000000,3,0
A,유력,1,95000000,14,1
A,유력,6,76000000,19,0
B,협의중,4,38000000,20,0
B,유력,2,113000000,16,1
A,협의중,6,89000000,7,0
B,협의중,6,69000000,27,1
C,협의중,2,52000000,9,1
B,유력,3,21000000,18,1
B,초기,5,19000000,22,1
A,유력,2,52000000,8,0
B,협의중,4,23000000,6,1
D,초기,3,114000000,21,0
B,협의중,4,110000000,25,0
C,초기,4,112000000,35,0
C,초기,5,119000000,27,0
D,초기,2,37000000,32,0
C,유력,2,45000000,12,0
A,유력,5,111000000,24,1
A,초기,5,73000000,5,0
C,협의중,2,96000000,7,0
B,유력,1,19000000,12,1
B,유력,1,81000000,9,1
A,초기,1,53000000,26,1
A,협의중,4,51000000,33,0
C,협의중,2,33000000,34,1
D,협의중,5,105000000,11,0
B,협의중,3,65000000,8,0
B,초기,6,23000000,6,0
A,유력,1,37000000,9,1
A,협의중,1,46000000,27,0
C,협의중,4,100000000,32,1
A,초기,4,116000000,30,1
B,협의중,5,80000000,16,0
B,초기,1,87000000,12,0
A,초기,5,22000000,27,1
C,유력,4,45000000,6,1
A,유력,4,52000000,19,1
A,초기,4,28000000,22,0
B,협의중,2,103000000,19,1
A,유력,4,61000000,22,1
B,협의중,4,86000000,13,0
B,유력,5,67000000,3,0
D,초기,6,103000000,12,0
D,유력,6,112000000,23,1
D,유력,4,58000000,10,0
C,초기,6,18000000,31,0
D,협의중,6,92000000,9,1
C,초기,6,87000000,13,0
A,초기,2,104000000,3,0
B,협의중,3,82000000,10,0
C,협의중,4,63000000,25,0
B,유력,3,32000000,14,1
B,협의중,2,87000000,30,1
C,협의중,4,99000000,21,0
D,유력,1,29000000,9,1
A,유력,1,81000000,9,1
B,유력,6,55000000,29,1
C,협의중,1,43000000,33,0
B,유력,4,70000000,28,1
B,초기,3,52000000,19,1
D,유력,6,48000000,3,0
B,초기,2,119000000,26,0
B,협의중,3,60000000,13,0
D,초기,4,42000000,28,0
C,협의중,2,99000000,27,0
A,유력,5,38000000,30,1
C,초기,1,98000000,28,0
C,초기,5,38000000,23,0
A,협의중,6,116000000,12,1
C,유력,1,91000000,27,1
C,유력,6,98000000,25,1
C,초기,2,86000000,18,0
C,협의중,3,102000000,6,0
D,협의중,6,92000000,9,1
D,초기,2,54000000,19,0
A,협의중,3,44000000,28,1
C,협의중,4,98000000,7,1
B,유력,6,75000000,13,1
A,초기,5,98000000,5,1
B,협의중,5,94000000,3,1
C,유력,2,95000000,4,0
B,유력,2,64000000,10,0
A,초기,1,111000000,11,1
B,유력,3,108000000,21,1
C,협의중,4,42000000,19,1
C,유력,3,68000000,9,1
C,협의중,2,110000000,34,0
B,협의중,3,58000000,9,0
B,협의중,3,98000000,7,1
D,유력,3,93000000,29,1
C,협의중,5,63000000,28,1
A,협의중,2,63000000,18,1
C,협의중,3,33000000,3,0
A,협의중,4,90000000,23,0
B,협의중,5,45000000,16,1
B,협의중,6,27000000,29,0
B,유력,2,43000000,6,0
B,유력,4,33000000,10,1
C,협의중,2,91000000,4,0
C,유력,1,77000000,21,1
D,초기,5,85000000,5,0
A,협의중,4,110000000,22,1
C,협의중,5,117000000,23,0
A,초기,4,81000000,10,0
D,초기,2,24000000,3,0
D,유력,6,73000000,17,1
A,유력,3,86000000,3,0
D,초기,1,32000000,6,0
A,협의중,5,119000000,27,1
A,초기,4,33000000,11,1
